total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy,cross_entropy,f1
10,10,1,0.2,3,3,0.0,0.0,0.0
10,10,1,0.2,3,5,0.0,0.0,0.0
10,10,1,0.2,3,7,0.0,0.0,0.0
10,10,1,0.2,3,11,0.0,0.0,0.0
10,10,1,0.2,3,13,0.0,0.0,0.0
10,10,1,0.2,3,15,0.0,0.0,0.0
10,10,1,0.2,5,3,0.0,0.0,0.0
10,10,1,0.2,5,5,0.0,0.0,0.0
10,10,1,0.2,5,7,0.0,0.0,0.0
10,10,1,0.2,5,11,0.0,0.0,0.0
10,10,1,0.2,5,13,0.0,0.0,0.0
10,10,1,0.2,5,15,0.0,0.0,0.0
10,10,1,0.2,7,3,0.0,0.0,0.0
10,10,1,0.2,7,5,0.0,0.0,0.0
10,10,1,0.2,7,7,0.0,0.0,0.0
10,10,1,0.2,7,11,0.0,0.0,0.0
10,10,1,0.2,7,13,0.0,0.0,0.0
10,10,1,0.2,7,15,0.0,0.0,0.0
10,10,1,0.2,9,3,0.0,0.0,0.0
10,10,1,0.2,9,5,0.0,0.0,0.0
10,10,1,0.2,9,7,0.0,0.0,0.0
10,10,1,0.2,9,11,0.0,0.0,0.0
10,10,1,0.2,9,13,0.0,0.0,0.0
10,10,1,0.2,9,15,0.0,0.0,0.0
10,10,1,0.2,11,3,0.0,0.0,0.0
10,10,1,0.2,11,5,0.0,0.0,0.0
10,10,1,0.2,11,7,0.0,0.0,0.0
10,10,1,0.2,11,11,0.0,0.0,0.0
10,10,1,0.2,11,13,0.0,0.0,0.0
10,10,1,0.2,11,15,0.0,0.0,0.0
10,10,1,0.2,13,3,0.0,0.0,0.0
10,10,1,0.2,13,5,0.0,0.0,0.0
10,10,1,0.2,13,7,0.0,0.0,0.0
10,10,1,0.2,13,11,0.0,0.0,0.0
10,10,1,0.2,13,13,0.0,0.0,0.0
10,10,1,0.2,13,15,0.0,0.0,0.0
10,10,1,0.2,15,3,0.0,0.0,0.0
10,10,1,0.2,15,5,0.0,0.0,0.0
10,10,1,0.2,15,7,0.0,0.0,0.0
10,10,1,0.2,15,11,0.0,0.0,0.0
10,10,1,0.2,15,13,0.0,0.0,0.0
10,10,1,0.2,15,15,0.0,0.0,0.0
10,10,1,0.4,3,3,0.0,0.0,0.0
10,10,1,0.4,3,5,0.9333,1.8955,0.9444
10,10,1,0.4,3,7,0.0,0.0,0.0
10,10,1,0.4,3,11,0.0,0.0,0.0
10,10,1,0.4,3,13,0.0,0.0,0.0
10,10,1,0.4,3,15,0.9333,3.1944,0.92
10,10,1,0.4,5,3,0.0,0.0,0.0
10,10,1,0.4,5,5,0.0,0.0,0.0
10,10,1,0.4,5,7,0.0,0.0,0.0
10,10,1,0.4,5,11,0.0,0.0,0.0
10,10,1,0.4,5,13,0.0,0.0,0.0
10,10,1,0.4,5,15,0.0,0.0,0.0
10,10,1,0.4,7,3,0.0,0.0,0.0
10,10,1,0.4,7,5,0.0,0.0,0.0
10,10,1,0.4,7,7,0.0,0.0,0.0
10,10,1,0.4,7,11,0.0,0.0,0.0
10,10,1,0.4,7,13,0.0,0.0,0.0
10,10,1,0.4,7,15,0.0,0.0,0.0
10,10,1,0.4,9,3,0.0,0.0,0.0
10,10,1,0.4,9,5,0.0,0.0,0.0
10,10,1,0.4,9,7,0.0,0.0,0.0
10,10,1,0.4,9,11,0.0,0.0,0.0
10,10,1,0.4,9,13,0.0,0.0,0.0
10,10,1,0.4,9,15,0.0,0.0,0.0
10,10,1,0.4,11,3,0.0,0.0,0.0
10,10,1,0.4,11,5,0.0,0.0,0.0
10,10,1,0.4,11,7,0.0,0.0,0.0
10,10,1,0.4,11,11,0.0,0.0,0.0
10,10,1,0.4,11,13,0.0,0.0,0.0
10,10,1,0.4,11,15,0.0,0.0,0.0
10,10,1,0.4,13,3,0.0,0.0,0.0
10,10,1,0.4,13,5,0.0,0.0,0.0
10,10,1,0.4,13,7,0.0,0.0,0.0
10,10,1,0.4,13,11,0.0,0.0,0.0
10,10,1,0.4,13,13,0.0,0.0,0.0
10,10,1,0.4,13,15,0.0,0.0,0.0
10,10,1,0.4,15,3,0.0,0.0,0.0
10,10,1,0.4,15,5,0.0,0.0,0.0
10,10,1,0.4,15,7,0.0,0.0,0.0
10,10,1,0.4,15,11,0.0,0.0,0.0
10,10,1,0.4,15,13,0.0,0.0,0.0
10,10,1,0.4,15,15,0.0,0.0,0.0
10,10,1,0.6,3,3,0.0,0.0,0.0
10,10,1,0.6,3,5,0.8333,1.926,0.8054
10,10,1,0.6,3,7,0.7333,1.7593,0.6546
10,10,1,0.6,3,11,0.0,0.0,0.0
10,10,1,0.6,3,13,0.0,0.0,0.0
10,10,1,0.6,3,15,0.9,3.0114,0.8672
10,10,1,0.6,5,3,0.0,0.0,0.0
10,10,1,0.6,5,5,0.0,0.0,0.0
10,10,1,0.6,5,7,0.0,0.0,0.0
10,10,1,0.6,5,11,0.0,0.0,0.0
10,10,1,0.6,5,13,0.0,0.0,0.0
10,10,1,0.6,5,15,0.0,0.0,0.0
10,10,1,0.6,7,3,0.0,0.0,0.0
10,10,1,0.6,7,5,0.0,0.0,0.0
10,10,1,0.6,7,7,0.0,0.0,0.0
10,10,1,0.6,7,11,0.0,0.0,0.0
10,10,1,0.6,7,13,0.0,0.0,0.0
10,10,1,0.6,7,15,0.0,0.0,0.0
10,10,1,0.6,9,3,0.0,0.0,0.0
10,10,1,0.6,9,5,0.0,0.0,0.0
10,10,1,0.6,9,7,0.0,0.0,0.0
10,10,1,0.6,9,11,0.0,0.0,0.0
10,10,1,0.6,9,13,0.0,0.0,0.0
10,10,1,0.6,9,15,0.0,0.0,0.0
10,10,1,0.6,11,3,0.0,0.0,0.0
10,10,1,0.6,11,5,0.0,0.0,0.0
10,10,1,0.6,11,7,0.0,0.0,0.0
10,10,1,0.6,11,11,0.0,0.0,0.0
10,10,1,0.6,11,13,0.0,0.0,0.0
10,10,1,0.6,11,15,0.0,0.0,0.0
10,10,1,0.6,13,3,0.0,0.0,0.0
10,10,1,0.6,13,5,0.0,0.0,0.0
10,10,1,0.6,13,7,0.0,0.0,0.0
10,10,1,0.6,13,11,0.0,0.0,0.0
10,10,1,0.6,13,13,0.0,0.0,0.0
10,10,1,0.6,13,15,0.0,0.0,0.0
10,10,1,0.6,15,3,0.0,0.0,0.0
10,10,1,0.6,15,5,0.0,0.0,0.0
10,10,1,0.6,15,7,0.0,0.0,0.0
10,10,1,0.6,15,11,0.0,0.0,0.0
10,10,1,0.6,15,13,0.0,0.0,0.0
10,10,1,0.6,15,15,0.0,0.0,0.0
10,10,1,0.8,3,3,0.0,0.0,0.0
10,10,1,0.8,3,5,0.0,0.0,0.0
10,10,1,0.8,3,7,0.8333,2.7314,0.8215
10,10,1,0.8,3,11,0.0,0.0,0.0
10,10,1,0.8,3,13,0.9667,2.6605,0.9604
10,10,1,0.8,3,15,0.0,0.0,0.0
10,10,1,0.8,5,3,0.0,0.0,0.0
10,10,1,0.8,5,5,0.0,0.0,0.0
10,10,1,0.8,5,7,0.0,0.0,0.0
10,10,1,0.8,5,11,0.0,0.0,0.0
10,10,1,0.8,5,13,0.0,0.0,0.0
10,10,1,0.8,5,15,0.0,0.0,0.0
10,10,1,0.8,7,3,0.0,0.0,0.0
10,10,1,0.8,7,5,0.0,0.0,0.0
10,10,1,0.8,7,7,0.0,0.0,0.0
10,10,1,0.8,7,11,0.0,0.0,0.0
10,10,1,0.8,7,13,0.0,0.0,0.0
10,10,1,0.8,7,15,0.0,0.0,0.0
10,10,1,0.8,9,3,0.0,0.0,0.0
10,10,1,0.8,9,5,0.0,0.0,0.0
10,10,1,0.8,9,7,0.0,0.0,0.0
10,10,1,0.8,9,11,0.0,0.0,0.0
10,10,1,0.8,9,13,0.0,0.0,0.0
10,10,1,0.8,9,15,0.0,0.0,0.0
10,10,1,0.8,11,3,0.0,0.0,0.0
10,10,1,0.8,11,5,0.0,0.0,0.0
10,10,1,0.8,11,7,0.0,0.0,0.0
10,10,1,0.8,11,11,0.0,0.0,0.0
10,10,1,0.8,11,13,0.0,0.0,0.0
10,10,1,0.8,11,15,0.0,0.0,0.0
10,10,1,0.8,13,3,0.0,0.0,0.0
10,10,1,0.8,13,5,0.0,0.0,0.0
10,10,1,0.8,13,7,0.0,0.0,0.0
10,10,1,0.8,13,11,0.0,0.0,0.0
10,10,1,0.8,13,13,0.0,0.0,0.0
10,10,1,0.8,13,15,0.0,0.0,0.0
10,10,1,0.8,15,3,0.0,0.0,0.0
10,10,1,0.8,15,5,0.0,0.0,0.0
10,10,1,0.8,15,7,0.0,0.0,0.0
10,10,1,0.8,15,11,0.0,0.0,0.0
10,10,1,0.8,15,13,0.0,0.0,0.0
10,10,1,0.8,15,15,0.0,0.0,0.0
10,20,1,0.2,3,3,0.0,0.0,0.0
10,20,1,0.2,3,5,0.9,1.8464,0.9097
10,20,1,0.2,3,7,1.0,2.5219,1.0
10,20,1,0.2,3,11,0.0,0.0,0.0
10,20,1,0.2,3,13,0.0,0.0,0.0
10,20,1,0.2,3,15,0.9667,3.1389,0.9619
10,20,1,0.2,5,3,0.0,0.0,0.0
10,20,1,0.2,5,5,0.0,0.0,0.0
10,20,1,0.2,5,7,0.0,0.0,0.0
10,20,1,0.2,5,11,0.88,2.7702,0.8802
10,20,1,0.2,5,13,0.0,0.0,0.0
10,20,1,0.2,5,15,0.0,0.0,0.0
10,20,1,0.2,7,3,0.0,0.0,0.0
10,20,1,0.2,7,5,0.0,0.0,0.0
10,20,1,0.2,7,7,0.0,0.0,0.0
10,20,1,0.2,7,11,0.0,0.0,0.0
10,20,1,0.2,7,13,0.0,0.0,0.0
10,20,1,0.2,7,15,0.0,0.0,0.0
10,20,1,0.2,9,3,0.0,0.0,0.0
10,20,1,0.2,9,5,0.0,0.0,0.0
10,20,1,0.2,9,7,0.0,0.0,0.0
10,20,1,0.2,9,11,0.0,0.0,0.0
10,20,1,0.2,9,13,0.0,0.0,0.0
10,20,1,0.2,9,15,0.0,0.0,0.0
10,20,1,0.2,11,3,0.0,0.0,0.0
10,20,1,0.2,11,5,0.0,0.0,0.0
10,20,1,0.2,11,7,0.0,0.0,0.0
10,20,1,0.2,11,11,0.0,0.0,0.0
10,20,1,0.2,11,13,0.0,0.0,0.0
10,20,1,0.2,11,15,0.0,0.0,0.0
10,20,1,0.2,13,3,0.0,0.0,0.0
10,20,1,0.2,13,5,0.0,0.0,0.0
10,20,1,0.2,13,7,0.0,0.0,0.0
10,20,1,0.2,13,11,0.0,0.0,0.0
10,20,1,0.2,13,13,0.0,0.0,0.0
10,20,1,0.2,13,15,0.0,0.0,0.0
10,20,1,0.2,15,3,0.0,0.0,0.0
10,20,1,0.2,15,5,0.0,0.0,0.0
10,20,1,0.2,15,7,0.0,0.0,0.0
10,20,1,0.2,15,11,0.0,0.0,0.0
10,20,1,0.2,15,13,0.0,0.0,0.0
10,20,1,0.2,15,15,0.0,0.0,0.0
10,20,1,0.4,3,3,0.9,0.9744,0.8942
10,20,1,0.4,3,5,0.0,0.0,0.0
10,20,1,0.4,3,7,0.8333,2.4803,0.8272
10,20,1,0.4,3,11,1.0,2.6464,1.0
10,20,1,0.4,3,13,0.0,0.0,0.0
10,20,1,0.4,3,15,1.0,2.9219,1.0
10,20,1,0.4,5,3,0.0,0.0,0.0
10,20,1,0.4,5,5,0.86,1.8649,0.861
10,20,1,0.4,5,7,0.78,2.6255,0.7466
10,20,1,0.4,5,11,0.96,1.9066,0.9411
10,20,1,0.4,5,13,0.94,2.66,0.9327
10,20,1,0.4,5,15,0.96,2.7289,0.9652
10,20,1,0.4,7,3,0.0,0.0,0.0
10,20,1,0.4,7,5,0.0,0.0,0.0
10,20,1,0.4,7,7,0.0,0.0,0.0
10,20,1,0.4,7,11,0.0,0.0,0.0
10,20,1,0.4,7,13,0.0,0.0,0.0
10,20,1,0.4,7,15,0.0,0.0,0.0
10,20,1,0.4,9,3,0.0,0.0,0.0
10,20,1,0.4,9,5,0.0,0.0,0.0
10,20,1,0.4,9,7,0.0,0.0,0.0
10,20,1,0.4,9,11,0.0,0.0,0.0
10,20,1,0.4,9,13,0.0,0.0,0.0
10,20,1,0.4,9,15,0.0,0.0,0.0
10,20,1,0.4,11,3,0.0,0.0,0.0
10,20,1,0.4,11,5,0.0,0.0,0.0
10,20,1,0.4,11,7,0.0,0.0,0.0
10,20,1,0.4,11,11,0.0,0.0,0.0
10,20,1,0.4,11,13,0.0,0.0,0.0
10,20,1,0.4,11,15,0.0,0.0,0.0
10,20,1,0.4,13,3,0.0,0.0,0.0
10,20,1,0.4,13,5,0.0,0.0,0.0
10,20,1,0.4,13,7,0.0,0.0,0.0
10,20,1,0.4,13,11,0.0,0.0,0.0
10,20,1,0.4,13,13,0.0,0.0,0.0
10,20,1,0.4,13,15,0.0,0.0,0.0
10,20,1,0.4,15,3,0.0,0.0,0.0
10,20,1,0.4,15,5,0.0,0.0,0.0
10,20,1,0.4,15,7,0.0,0.0,0.0
10,20,1,0.4,15,11,0.0,0.0,0.0
10,20,1,0.4,15,13,0.0,0.0,0.0
10,20,1,0.4,15,15,0.0,0.0,0.0
10,20,1,0.6,3,3,0.0,0.0,0.0
10,20,1,0.6,3,5,0.9667,2.1804,0.9597
10,20,1,0.6,3,7,0.0,0.0,0.0
10,20,1,0.6,3,11,0.9,2.9699,0.9047
10,20,1,0.6,3,13,0.9333,2.95,0.9279
10,20,1,0.6,3,15,0.9667,2.9301,0.979
10,20,1,0.6,5,3,0.0,0.0,0.0
10,20,1,0.6,5,5,0.9,1.7293,0.8564
10,20,1,0.6,5,7,0.0,0.0,0.0
10,20,1,0.6,5,11,0.88,2.1379,0.8656
10,20,1,0.6,5,13,0.0,0.0,0.0
10,20,1,0.6,5,15,0.0,0.0,0.0
10,20,1,0.6,7,3,0.0,0.0,0.0
10,20,1,0.6,7,5,0.9143,1.9734,0.9175
10,20,1,0.6,7,7,0.0,0.0,0.0
10,20,1,0.6,7,11,0.0,0.0,0.0
10,20,1,0.6,7,13,0.0,0.0,0.0
10,20,1,0.6,7,15,0.0,0.0,0.0
10,20,1,0.6,9,3,0.0,0.0,0.0
10,20,1,0.6,9,5,0.0,0.0,0.0
10,20,1,0.6,9,7,0.0,0.0,0.0
10,20,1,0.6,9,11,0.0,0.0,0.0
10,20,1,0.6,9,13,0.9222,3.1399,0.9165
10,20,1,0.6,9,15,0.0,0.0,0.0
10,20,1,0.6,11,3,0.0,0.0,0.0
10,20,1,0.6,11,5,0.0,0.0,0.0
10,20,1,0.6,11,7,0.0,0.0,0.0
10,20,1,0.6,11,11,0.0,0.0,0.0
10,20,1,0.6,11,13,0.0,0.0,0.0
10,20,1,0.6,11,15,0.0,0.0,0.0
10,20,1,0.6,13,3,0.0,0.0,0.0
10,20,1,0.6,13,5,0.0,0.0,0.0
10,20,1,0.6,13,7,0.0,0.0,0.0
10,20,1,0.6,13,11,0.0,0.0,0.0
10,20,1,0.6,13,13,0.0,0.0,0.0
10,20,1,0.6,13,15,0.0,0.0,0.0
10,20,1,0.6,15,3,0.0,0.0,0.0
10,20,1,0.6,15,5,0.0,0.0,0.0
10,20,1,0.6,15,7,0.0,0.0,0.0
10,20,1,0.6,15,11,0.0,0.0,0.0
10,20,1,0.6,15,13,0.0,0.0,0.0
10,20,1,0.6,15,15,0.0,0.0,0.0
10,20,1,0.8,3,3,0.6,1.4896,0.5841
10,20,1,0.8,3,5,0.9,1.8781,0.8911
10,20,1,0.8,3,7,0.8667,1.9605,0.8677
10,20,1,0.8,3,11,1.0,2.4464,1.0
10,20,1,0.8,3,13,0.8333,2.2774,0.8359
10,20,1,0.8,3,15,0.7667,0.0,0.0
10,20,1,0.8,5,3,0.84,1.4961,0.7981
10,20,1,0.8,5,5,0.88,2.2061,0.872
10,20,1,0.8,5,7,0.0,0.0,0.0
10,20,1,0.8,5,11,0.86,2.4856,0.8453
10,20,1,0.8,5,13,0.96,2.6523,0.9616
10,20,1,0.8,5,15,0.0,0.0,0.0
10,20,1,0.8,7,3,0.0,0.0,0.0
10,20,1,0.8,7,5,0.8714,2.1851,0.8606
10,20,1,0.8,7,7,0.0,0.0,0.0
10,20,1,0.8,7,11,0.0,0.0,0.0
10,20,1,0.8,7,13,0.0,0.0,0.0
10,20,1,0.8,7,15,0.8714,2.7355,0.8556
10,20,1,0.8,9,3,0.0,0.0,0.0
10,20,1,0.8,9,5,0.0,0.0,0.0
10,20,1,0.8,9,7,0.0,0.0,0.0
10,20,1,0.8,9,11,0.0,0.0,0.0
10,20,1,0.8,9,13,0.0,0.0,0.0
10,20,1,0.8,9,15,0.0,0.0,0.0
10,20,1,0.8,11,3,0.0,0.0,0.0
10,20,1,0.8,11,5,0.0,0.0,0.0
10,20,1,0.8,11,7,0.0,0.0,0.0
10,20,1,0.8,11,11,0.0,0.0,0.0
10,20,1,0.8,11,13,0.0,0.0,0.0
10,20,1,0.8,11,15,0.0,0.0,0.0
10,20,1,0.8,13,3,0.0,0.0,0.0
10,20,1,0.8,13,5,0.0,0.0,0.0
10,20,1,0.8,13,7,0.0,0.0,0.0
10,20,1,0.8,13,11,0.0,0.0,0.0
10,20,1,0.8,13,13,0.0,0.0,0.0
10,20,1,0.8,13,15,0.0,0.0,0.0
10,20,1,0.8,15,3,0.0,0.0,0.0
10,20,1,0.8,15,5,0.0,0.0,0.0
10,20,1,0.8,15,7,0.0,0.0,0.0
10,20,1,0.8,15,11,0.0,0.0,0.0
10,20,1,0.8,15,13,0.0,0.0,0.0
10,20,1,0.8,15,15,0.0,0.0,0.0
10,30,1,0.2,3,3,0.0,0.0,0.0
10,30,1,0.2,3,5,0.0,0.0,0.0
10,30,1,0.2,3,7,0.0,0.0,0.0
10,30,1,0.2,3,11,0.0,0.0,0.0
10,30,1,0.2,3,13,0.9,2.7412,0.9167
10,30,1,0.2,3,15,0.9667,2.9389,0.9571
10,30,1,0.2,5,3,0.0,0.0,0.0
10,30,1,0.2,5,5,0.0,0.0,0.0
10,30,1,0.2,5,7,0.0,0.0,0.0
10,30,1,0.2,5,11,0.0,0.0,0.0
10,30,1,0.2,5,13,0.0,0.0,0.0
10,30,1,0.2,5,15,0.0,0.0,0.0
10,30,1,0.2,7,3,0.0,0.0,0.0
10,30,1,0.2,7,5,0.0,0.0,0.0
10,30,1,0.2,7,7,0.0,0.0,0.0
10,30,1,0.2,7,11,0.0,0.0,0.0
10,30,1,0.2,7,13,0.0,0.0,0.0
10,30,1,0.2,7,15,0.0,0.0,0.0
10,30,1,0.2,9,3,0.0,0.0,0.0
10,30,1,0.2,9,5,0.0,0.0,0.0
10,30,1,0.2,9,7,0.0,0.0,0.0
10,30,1,0.2,9,11,0.0,0.0,0.0
10,30,1,0.2,9,13,0.0,0.0,0.0
10,30,1,0.2,9,15,0.0,0.0,0.0
10,30,1,0.2,11,3,0.0,0.0,0.0
10,30,1,0.2,11,5,0.0,0.0,0.0
10,30,1,0.2,11,7,0.0,0.0,0.0
10,30,1,0.2,11,11,0.0,0.0,0.0
10,30,1,0.2,11,13,0.0,0.0,0.0
10,30,1,0.2,11,15,0.0,0.0,0.0
10,30,1,0.2,13,3,0.0,0.0,0.0
10,30,1,0.2,13,5,0.0,0.0,0.0
10,30,1,0.2,13,7,0.0,0.0,0.0
10,30,1,0.2,13,11,0.0,0.0,0.0
10,30,1,0.2,13,13,0.0,0.0,0.0
10,30,1,0.2,13,15,0.0,0.0,0.0
10,30,1,0.2,15,3,0.0,0.0,0.0
10,30,1,0.2,15,5,0.0,0.0,0.0
10,30,1,0.2,15,7,0.0,0.0,0.0
10,30,1,0.2,15,11,0.0,0.0,0.0
10,30,1,0.2,15,13,0.0,0.0,0.0
10,30,1,0.2,15,15,0.0,0.0,0.0
10,30,1,0.4,3,3,0.0,0.0,0.0
10,30,1,0.4,3,5,0.0,0.0,0.0
10,30,1,0.4,3,7,0.9667,2.6575,0.9666
10,30,1,0.4,3,11,0.9667,2.6634,0.951
10,30,1,0.4,3,13,0.9,2.747,0.9032
10,30,1,0.4,3,15,0.9333,2.3359,0.8983
10,30,1,0.4,5,3,0.82,1.3641,0.7509
10,30,1,0.4,5,5,0.0,0.0,0.0
10,30,1,0.4,5,7,0.88,1.8523,0.86
10,30,1,0.4,5,11,0.98,2.3752,0.9761
10,30,1,0.4,5,13,0.0,0.0,0.0
10,30,1,0.4,5,15,0.0,0.0,0.0
10,30,1,0.4,7,3,0.0,0.0,0.0
10,30,1,0.4,7,5,0.0,0.0,0.0
10,30,1,0.4,7,7,0.8286,2.5094,0.7867
10,30,1,0.4,7,11,0.0,0.0,0.0
10,30,1,0.4,7,13,0.0,0.0,0.0
10,30,1,0.4,7,15,0.9857,3.3249,0.9856
10,30,1,0.4,9,3,0.0,0.0,0.0
10,30,1,0.4,9,5,0.0,0.0,0.0
10,30,1,0.4,9,7,0.0,0.0,0.0
10,30,1,0.4,9,11,0.8667,2.4587,0.8712
10,30,1,0.4,9,13,0.9778,2.925,0.9759
10,30,1,0.4,9,15,0.9556,2.9327,0.9573
10,30,1,0.4,11,3,0.0,0.0,0.0
10,30,1,0.4,11,5,0.9,2.0636,0.8778
10,30,1,0.4,11,7,0.0,0.0,0.0
10,30,1,0.4,11,11,0.9364,2.7275,0.9296
10,30,1,0.4,11,13,0.0,0.0,0.0
10,30,1,0.4,11,15,0.0,0.0,0.0
10,30,1,0.4,13,3,0.0,0.0,0.0
10,30,1,0.4,13,5,0.0,0.0,0.0
10,30,1,0.4,13,7,0.0,0.0,0.0
10,30,1,0.4,13,11,0.0,0.0,0.0
10,30,1,0.4,13,13,0.0,0.0,0.0
10,30,1,0.4,13,15,0.0,0.0,0.0
10,30,1,0.4,15,3,0.0,0.0,0.0
10,30,1,0.4,15,5,0.0,0.0,0.0
10,30,1,0.4,15,7,0.0,0.0,0.0
10,30,1,0.4,15,11,0.0,0.0,0.0
10,30,1,0.4,15,13,0.0,0.0,0.0
10,30,1,0.4,15,15,0.0,0.0,0.0
10,30,1,0.6,3,3,0.8333,1.5763,0.8371
10,30,1,0.6,3,5,0.8667,1.8763,0.8089
10,30,1,0.6,3,7,0.8667,2.4707,0.8237
10,30,1,0.6,3,11,0.9667,3.133,0.974
10,30,1,0.6,3,13,0.9667,2.6559,0.9712
10,30,1,0.6,3,15,1.0,2.6464,1.0
10,30,1,0.6,5,3,0.96,1.3715,0.9291
10,30,1,0.6,5,5,0.86,2.0771,0.8368
10,30,1,0.6,5,7,0.9,2.4781,0.8901
10,30,1,0.6,5,11,0.86,2.3493,0.8412
10,30,1,0.6,5,13,0.0,0.0,0.0
10,30,1,0.6,5,15,0.0,0.0,0.0
10,30,1,0.6,7,3,0.0,0.0,0.0
10,30,1,0.6,7,5,0.0,0.0,0.0
10,30,1,0.6,7,7,0.8857,2.1395,0.86
10,30,1,0.6,7,11,0.9143,2.7383,0.9192
10,30,1,0.6,7,13,0.0,0.0,0.0
10,30,1,0.6,7,15,0.9,3.1531,0.8915
10,30,1,0.6,9,3,0.0,0.0,0.0
10,30,1,0.6,9,5,0.9,2.1326,0.8926
10,30,1,0.6,9,7,0.0,0.0,0.0
10,30,1,0.6,9,11,0.0,0.0,0.0
10,30,1,0.6,9,13,0.0,0.0,0.0
10,30,1,0.6,9,15,0.0,0.0,0.0
10,30,1,0.6,11,3,0.0,0.0,0.0
10,30,1,0.6,11,5,0.8909,1.9247,0.8904
10,30,1,0.6,11,7,0.0,0.0,0.0
10,30,1,0.6,11,11,0.0,0.0,0.0
10,30,1,0.6,11,13,0.0,0.0,0.0
10,30,1,0.6,11,15,0.0,0.0,0.0
10,30,1,0.6,13,3,0.0,0.0,0.0
10,30,1,0.6,13,5,0.0,0.0,0.0
10,30,1,0.6,13,7,0.0,0.0,0.0
10,30,1,0.6,13,11,0.0,0.0,0.0
10,30,1,0.6,13,13,0.0,0.0,0.0
10,30,1,0.6,13,15,0.0,0.0,0.0
10,30,1,0.6,15,3,0.0,0.0,0.0
10,30,1,0.6,15,5,0.0,0.0,0.0
10,30,1,0.6,15,7,0.0,0.0,0.0
10,30,1,0.6,15,11,0.0,0.0,0.0
10,30,1,0.6,15,13,0.0,0.0,0.0
10,30,1,0.6,15,15,0.0,0.0,0.0
10,30,1,0.8,3,3,0.8333,0.9742,0.8286
10,30,1,0.8,3,5,0.9667,2.2529,0.9729
10,30,1,0.8,3,7,0.8667,2.6026,0.856
10,30,1,0.8,3,11,0.8333,2.7359,0.8202
10,30,1,0.8,3,13,0.9,2.4716,0.8593
10,30,1,0.8,3,15,0.9333,3.1529,0.9311
10,30,1,0.8,5,3,0.88,1.5277,0.8997
10,30,1,0.8,5,5,0.0,0.0,0.0
10,30,1,0.8,5,7,0.98,2.7278,0.9711
10,30,1,0.8,5,11,0.0,0.0,0.0
10,30,1,0.8,5,13,0.88,2.402,0.866
10,30,1,0.8,5,15,0.96,2.6548,0.959
10,30,1,0.8,7,3,0.8286,1.4454,0.7849
10,30,1,0.8,7,5,0.8714,1.9773,0.8716
10,30,1,0.8,7,7,0.9286,1.9701,0.9241
10,30,1,0.8,7,11,0.9286,3.1379,0.9263
10,30,1,0.8,7,13,0.9571,2.3323,0.9362
10,30,1,0.8,7,15,0.9143,3.1431,0.9144
10,30,1,0.8,9,3,0.0,0.0,0.0
10,30,1,0.8,9,5,0.0,0.0,0.0
10,30,1,0.8,9,7,0.8444,2.4599,0.8001
10,30,1,0.8,9,11,0.0,0.0,0.0
10,30,1,0.8,9,13,0.9,2.9457,0.9009
10,30,1,0.8,9,15,0.9,2.9464,0.9081
10,30,1,0.8,11,3,0.0,0.0,0.0
10,30,1,0.8,11,5,0.9455,2.2506,0.9483
10,30,1,0.8,11,7,0.0,0.0,0.0
10,30,1,0.8,11,11,0.0,0.0,0.0
10,30,1,0.8,11,13,0.0,0.0,0.0
10,30,1,0.8,11,15,0.0,0.0,0.0
10,30,1,0.8,13,3,0.0,0.0,0.0
10,30,1,0.8,13,5,0.0,0.0,0.0
10,30,1,0.8,13,7,0.0,0.0,0.0
10,30,1,0.8,13,11,0.0,0.0,0.0
10,30,1,0.8,13,13,0.0,0.0,0.0
10,30,1,0.8,13,15,0.0,0.0,0.0
10,30,1,0.8,15,3,0.0,0.0,0.0
10,30,1,0.8,15,5,0.0,0.0,0.0
10,30,1,0.8,15,7,0.0,0.0,0.0
10,30,1,0.8,15,11,0.0,0.0,0.0
10,30,1,0.8,15,13,0.0,0.0,0.0
10,30,1,0.8,15,15,0.0,0.0,0.0
10,40,1,0.2,3,3,0.0,0.0,0.0
10,40,1,0.2,3,5,0.0,0.0,0.0
10,40,1,0.2,3,7,0.0,0.0,0.0
10,40,1,0.2,3,11,0.0,0.0,0.0
10,40,1,0.2,3,13,0.0,0.0,0.0
10,40,1,0.2,3,15,0.0,0.0,0.0
10,40,1,0.2,5,3,0.0,0.0,0.0
10,40,1,0.2,5,5,0.0,0.0,0.0
10,40,1,0.2,5,7,0.0,0.0,0.0
10,40,1,0.2,5,11,0.0,0.0,0.0
10,40,1,0.2,5,13,0.98,2.6523,0.9711
10,40,1,0.2,5,15,0.98,2.6523,0.9711
10,40,1,0.2,7,3,0.0,0.0,0.0
10,40,1,0.2,7,5,0.0,0.0,0.0
10,40,1,0.2,7,7,0.0,0.0,0.0
10,40,1,0.2,7,11,0.0,0.0,0.0
10,40,1,0.2,7,13,0.0,0.0,0.0
10,40,1,0.2,7,15,0.0,0.0,0.0
10,40,1,0.2,9,3,0.0,0.0,0.0
10,40,1,0.2,9,5,0.0,0.0,0.0
10,40,1,0.2,9,7,0.0,0.0,0.0
10,40,1,0.2,9,11,0.0,0.0,0.0
10,40,1,0.2,9,13,0.0,0.0,0.0
10,40,1,0.2,9,15,0.0,0.0,0.0
