total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,30,0.6,0.4,9,5,0.9667
60,30,0.6,0.4,9,7,0.9815
60,30,0.6,0.6,3,3,0.9444
60,30,0.6,0.6,3,5,0.9611
60,30,0.6,0.6,3,7,0.9611
60,30,0.6,0.6,5,3,0.9567
60,30,0.6,0.6,5,5,0.96
60,30,0.6,0.6,5,7,0.9567
60,30,0.6,0.6,7,3,0.9762
60,30,0.6,0.6,7,5,0.9667
60,30,0.6,0.6,7,7,0.9571
60,30,0.6,0.6,9,3,0.0
60,30,0.6,0.6,9,5,0.9463
60,30,0.6,0.6,9,7,0.0
60,30,0.6,0.8,3,3,0.9278
60,30,0.6,0.8,3,5,0.9611
60,30,0.6,0.8,3,7,0.9556
60,30,0.6,0.8,5,3,0.91
60,30,0.6,0.8,5,5,0.9533
60,30,0.6,0.8,5,7,0.97
60,30,0.6,0.8,7,3,0.0
60,30,0.6,0.8,7,5,0.9643
60,30,0.6,0.8,7,7,0.9643
60,30,0.6,0.8,9,3,0.0
60,30,0.6,0.8,9,5,0.0
60,30,0.6,0.8,9,7,0.0
60,30,0.8,0.2,3,3,0.9778
60,30,0.8,0.2,3,5,0.9611
60,30,0.8,0.2,3,7,0.9611
60,30,0.8,0.2,5,3,0.94
60,30,0.8,0.2,5,5,0.9467
60,30,0.8,0.2,5,7,0.96
60,30,0.8,0.2,7,3,0.9143
60,30,0.8,0.2,7,5,0.9595
60,30,0.8,0.2,7,7,0.969
60,30,0.8,0.2,9,3,0.9611
60,30,0.8,0.2,9,5,0.9593
60,30,0.8,0.2,9,7,0.9611
60,30,0.8,0.4,3,3,0.9611
60,30,0.8,0.4,3,5,0.9667
60,30,0.8,0.4,3,7,0.9944
60,30,0.8,0.4,5,3,0.97
60,30,0.8,0.4,5,5,0.9733
60,30,0.8,0.4,5,7,0.9367
60,30,0.8,0.4,7,3,0.969
60,30,0.8,0.4,7,5,0.9548
60,30,0.8,0.4,7,7,0.9643
60,30,0.8,0.4,9,3,0.0
60,30,0.8,0.4,9,5,0.9519
60,30,0.8,0.4,9,7,0.9759
60,30,0.8,0.6,3,3,0.9222
60,30,0.8,0.6,3,5,0.95
60,30,0.8,0.6,3,7,0.9778
60,30,0.8,0.6,5,3,0.9433
60,30,0.8,0.6,5,5,0.9367
60,30,0.8,0.6,5,7,0.9767
60,30,0.8,0.6,7,3,0.0
60,30,0.8,0.6,7,5,0.9738
60,30,0.8,0.6,7,7,0.0
60,30,0.8,0.6,9,3,0.0
60,30,0.8,0.6,9,5,0.0
60,30,0.8,0.6,9,7,0.0
60,30,0.8,0.8,3,3,0.95
60,30,0.8,0.8,3,5,0.9444
60,30,0.8,0.8,3,7,0.9667
60,30,0.8,0.8,5,3,0.9467
60,30,0.8,0.8,5,5,0.96
60,30,0.8,0.8,5,7,0.93
60,30,0.8,0.8,7,3,0.9381
60,30,0.8,0.8,7,5,0.931
60,30,0.8,0.8,7,7,0.9738
60,30,0.8,0.8,9,3,0.0
60,30,0.8,0.8,9,5,0.9481
60,30,0.8,0.8,9,7,0.0
60,40,0.2,0.2,3,3,0.9778
60,40,0.2,0.2,3,5,0.9333
60,40,0.2,0.2,3,7,0.9667
60,40,0.2,0.2,5,3,0.96
60,40,0.2,0.2,5,5,0.9633
60,40,0.2,0.2,5,7,0.96
60,40,0.2,0.2,7,3,0.9476
60,40,0.2,0.2,7,5,0.9476
60,40,0.2,0.2,7,7,0.9714
60,40,0.2,0.2,9,3,0.9778
60,40,0.2,0.2,9,5,0.9704
60,40,0.2,0.2,9,7,0.9537
60,40,0.2,0.4,3,3,0.9611
60,40,0.2,0.4,3,5,0.9444
60,40,0.2,0.4,3,7,0.9722
60,40,0.2,0.4,5,3,0.9333
60,40,0.2,0.4,5,5,0.98
60,40,0.2,0.4,5,7,0.9433
60,40,0.2,0.4,7,3,0.9667
60,40,0.2,0.4,7,5,0.9667
60,40,0.2,0.4,7,7,0.9619
60,40,0.2,0.4,9,3,0.9537
60,40,0.2,0.4,9,5,0.9667
60,40,0.2,0.4,9,7,0.9741
60,40,0.2,0.6,3,3,0.9556
60,40,0.2,0.6,3,5,0.9722
60,40,0.2,0.6,3,7,0.9778
60,40,0.2,0.6,5,3,0.96
60,40,0.2,0.6,5,5,0.99
60,40,0.2,0.6,5,7,0.96
60,40,0.2,0.6,7,3,0.9524
60,40,0.2,0.6,7,5,0.9452
60,40,0.2,0.6,7,7,0.9643
60,40,0.2,0.6,9,3,0.9556
60,40,0.2,0.6,9,5,0.9704
60,40,0.2,0.6,9,7,0.9704
60,40,0.2,0.8,3,3,0.9667
60,40,0.2,0.8,3,5,0.9611
60,40,0.2,0.8,3,7,0.9667
60,40,0.2,0.8,5,3,0.9433
60,40,0.2,0.8,5,5,0.9767
60,40,0.2,0.8,5,7,0.9567
60,40,0.2,0.8,7,3,0.9381
60,40,0.2,0.8,7,5,0.9286
60,40,0.2,0.8,7,7,0.9643
60,40,0.2,0.8,9,3,0.9278
60,40,0.2,0.8,9,5,0.9667
60,40,0.2,0.8,9,7,0.9556
60,40,0.4,0.2,3,3,0.9722
60,40,0.4,0.2,3,5,0.9667
60,40,0.4,0.2,3,7,0.9778
60,40,0.4,0.2,5,3,0.96
60,40,0.4,0.2,5,5,0.9733
60,40,0.4,0.2,5,7,0.9867
60,40,0.4,0.2,7,3,0.931
60,40,0.4,0.2,7,5,0.969
60,40,0.4,0.2,7,7,0.9762
60,40,0.4,0.2,9,3,0.9519
60,40,0.4,0.2,9,5,0.9611
60,40,0.4,0.2,9,7,0.9537
60,40,0.4,0.4,3,3,0.9444
60,40,0.4,0.4,3,5,0.9667
60,40,0.4,0.4,3,7,0.9722
60,40,0.4,0.4,5,3,0.95
60,40,0.4,0.4,5,5,0.96
60,40,0.4,0.4,5,7,0.98
60,40,0.4,0.4,7,3,0.9524
60,40,0.4,0.4,7,5,0.9548
60,40,0.4,0.4,7,7,0.9738
60,40,0.4,0.4,9,3,0.9704
60,40,0.4,0.4,9,5,0.95
60,40,0.4,0.4,9,7,0.9741
60,40,0.4,0.6,3,3,0.9722
60,40,0.4,0.6,3,5,0.9389
60,40,0.4,0.6,3,7,0.9611
60,40,0.4,0.6,5,3,0.9467
60,40,0.4,0.6,5,5,0.9233
60,40,0.4,0.6,5,7,0.98
60,40,0.4,0.6,7,3,0.9714
60,40,0.4,0.6,7,5,0.9476
60,40,0.4,0.6,7,7,0.9548
60,40,0.4,0.6,9,3,0.9593
60,40,0.4,0.6,9,5,0.9519
60,40,0.4,0.6,9,7,0.9704
60,40,0.4,0.8,3,3,0.95
60,40,0.4,0.8,3,5,0.9611
60,40,0.4,0.8,3,7,0.95
60,40,0.4,0.8,5,3,0.9667
60,40,0.4,0.8,5,5,0.9533
60,40,0.4,0.8,5,7,0.9733
60,40,0.4,0.8,7,3,0.931
60,40,0.4,0.8,7,5,0.9643
60,40,0.4,0.8,7,7,0.9429
60,40,0.4,0.8,9,3,0.9481
60,40,0.4,0.8,9,5,0.9667
60,40,0.4,0.8,9,7,0.963
60,40,0.6,0.2,3,3,0.9444
60,40,0.6,0.2,3,5,0.9444
60,40,0.6,0.2,3,7,0.95
60,40,0.6,0.2,5,3,0.9433
60,40,0.6,0.2,5,5,0.96
60,40,0.6,0.2,5,7,0.97
60,40,0.6,0.2,7,3,0.9333
60,40,0.6,0.2,7,5,0.9667
60,40,0.6,0.2,7,7,0.981
60,40,0.6,0.2,9,3,0.9556
60,40,0.6,0.2,9,5,0.9722
60,40,0.6,0.2,9,7,0.9833
60,40,0.6,0.4,3,3,0.9278
60,40,0.6,0.4,3,5,0.9222
60,40,0.6,0.4,3,7,0.9722
60,40,0.6,0.4,5,3,0.95
60,40,0.6,0.4,5,5,0.9833
60,40,0.6,0.4,5,7,0.98
60,40,0.6,0.4,7,3,0.9405
60,40,0.6,0.4,7,5,0.95
60,40,0.6,0.4,7,7,0.9833
60,40,0.6,0.4,9,3,0.9352
60,40,0.6,0.4,9,5,0.9778
60,40,0.6,0.4,9,7,0.963
60,40,0.6,0.6,3,3,0.9
60,40,0.6,0.6,3,5,0.9444
60,40,0.6,0.6,3,7,0.9833
60,40,0.6,0.6,5,3,0.9567
60,40,0.6,0.6,5,5,0.96
60,40,0.6,0.6,5,7,0.9633
60,40,0.6,0.6,7,3,0.9286
60,40,0.6,0.6,7,5,0.9667
60,40,0.6,0.6,7,7,0.9786
60,40,0.6,0.6,9,3,0.0
60,40,0.6,0.6,9,5,0.9389
60,40,0.6,0.6,9,7,0.9648
60,40,0.6,0.8,3,3,0.9333
60,40,0.6,0.8,3,5,0.9389
60,40,0.6,0.8,3,7,0.9556
60,40,0.6,0.8,5,3,0.9067
60,40,0.6,0.8,5,5,0.9167
60,40,0.6,0.8,5,7,0.97
60,40,0.6,0.8,7,3,0.931
60,40,0.6,0.8,7,5,0.9619
60,40,0.6,0.8,7,7,0.9643
60,40,0.6,0.8,9,3,0.9444
60,40,0.6,0.8,9,5,0.9537
60,40,0.6,0.8,9,7,0.0
60,40,0.8,0.2,3,3,0.9389
60,40,0.8,0.2,3,5,0.9722
60,40,0.8,0.2,3,7,0.9889
60,40,0.8,0.2,5,3,0.8933
60,40,0.8,0.2,5,5,0.9367
60,40,0.8,0.2,5,7,0.98
60,40,0.8,0.2,7,3,0.9143
60,40,0.8,0.2,7,5,0.9405
60,40,0.8,0.2,7,7,0.9619
60,40,0.8,0.2,9,3,0.9185
60,40,0.8,0.2,9,5,0.9407
60,40,0.8,0.2,9,7,0.9611
60,40,0.8,0.4,3,3,0.9611
60,40,0.8,0.4,3,5,0.9556
60,40,0.8,0.4,3,7,0.9667
60,40,0.8,0.4,5,3,0.9467
60,40,0.8,0.4,5,5,0.96
60,40,0.8,0.4,5,7,0.94
60,40,0.8,0.4,7,3,0.9333
60,40,0.8,0.4,7,5,0.9643
60,40,0.8,0.4,7,7,0.9571
60,40,0.8,0.4,9,3,0.937
60,40,0.8,0.4,9,5,0.9685
60,40,0.8,0.4,9,7,0.9593
60,40,0.8,0.6,3,3,0.9722
60,40,0.8,0.6,3,5,0.9056
60,40,0.8,0.6,3,7,0.95
60,40,0.8,0.6,5,3,0.9467
60,40,0.8,0.6,5,5,0.97
60,40,0.8,0.6,5,7,0.96
60,40,0.8,0.6,7,3,0.9643
60,40,0.8,0.6,7,5,0.95
60,40,0.8,0.6,7,7,0.9714
60,40,0.8,0.6,9,3,0.9556
60,40,0.8,0.6,9,5,0.9667
60,40,0.8,0.6,9,7,0.9778
60,40,0.8,0.8,3,3,0.8889
60,40,0.8,0.8,3,5,0.9722
60,40,0.8,0.8,3,7,0.9667
60,40,0.8,0.8,5,3,0.9133
60,40,0.8,0.8,5,5,0.94
60,40,0.8,0.8,5,7,0.9667
60,40,0.8,0.8,7,3,0.9357
60,40,0.8,0.8,7,5,0.9429
60,40,0.8,0.8,7,7,0.9571
60,40,0.8,0.8,9,3,0.0
60,40,0.8,0.8,9,5,0.9481
60,40,0.8,0.8,9,7,0.9741
60,50,0.2,0.2,3,3,0.9167
60,50,0.2,0.2,3,5,0.9722
60,50,0.2,0.2,3,7,0.9778
60,50,0.2,0.2,5,3,0.9667
60,50,0.2,0.2,5,5,0.96
60,50,0.2,0.2,5,7,0.9667
60,50,0.2,0.2,7,3,0.9214
60,50,0.2,0.2,7,5,0.9381
60,50,0.2,0.2,7,7,0.9833
60,50,0.2,0.2,9,3,0.9519
60,50,0.2,0.2,9,5,0.9611
60,50,0.2,0.2,9,7,0.9759
60,50,0.2,0.4,3,3,0.9611
60,50,0.2,0.4,3,5,0.9389
60,50,0.2,0.4,3,7,0.9722
60,50,0.2,0.4,5,3,0.9467
60,50,0.2,0.4,5,5,0.9667
60,50,0.2,0.4,5,7,0.9667
60,50,0.2,0.4,7,3,0.9357
60,50,0.2,0.4,7,5,0.9619
60,50,0.2,0.4,7,7,0.9762
60,50,0.2,0.4,9,3,0.9444
60,50,0.2,0.4,9,5,0.9741
60,50,0.2,0.4,9,7,0.9741
60,50,0.2,0.6,3,3,0.9611
60,50,0.2,0.6,3,5,0.9389
60,50,0.2,0.6,3,7,0.9722
60,50,0.2,0.6,5,3,0.9333
60,50,0.2,0.6,5,5,0.9467
60,50,0.2,0.6,5,7,0.96
60,50,0.2,0.6,7,3,0.9571
60,50,0.2,0.6,7,5,0.9405
60,50,0.2,0.6,7,7,0.9714
60,50,0.2,0.6,9,3,0.9463
60,50,0.2,0.6,9,5,0.9741
60,50,0.2,0.6,9,7,0.9667
60,50,0.2,0.8,3,3,0.9389
60,50,0.2,0.8,3,5,0.9833
60,50,0.2,0.8,3,7,0.9778
60,50,0.2,0.8,5,3,0.9633
60,50,0.2,0.8,5,5,0.9567
60,50,0.2,0.8,5,7,0.9467
60,50,0.2,0.8,7,3,0.9548
60,50,0.2,0.8,7,5,0.95
60,50,0.2,0.8,7,7,0.9667
60,50,0.2,0.8,9,3,0.9389
60,50,0.2,0.8,9,5,0.9463
60,50,0.2,0.8,9,7,0.963
60,50,0.4,0.2,3,3,0.9333
60,50,0.4,0.2,3,5,0.9778
60,50,0.4,0.2,3,7,0.9778
60,50,0.4,0.2,5,3,0.98
60,50,0.4,0.2,5,5,0.9433
60,50,0.4,0.2,5,7,0.9667
60,50,0.4,0.2,7,3,0.9476
60,50,0.4,0.2,7,5,0.981
60,50,0.4,0.2,7,7,0.969
60,50,0.4,0.2,9,3,0.9333
60,50,0.4,0.2,9,5,0.9463
60,50,0.4,0.2,9,7,0.9722
60,50,0.4,0.4,3,3,0.9611
60,50,0.4,0.4,3,5,0.9778
60,50,0.4,0.4,3,7,0.9722
60,50,0.4,0.4,5,3,0.9533
60,50,0.4,0.4,5,5,0.9567
60,50,0.4,0.4,5,7,0.96
60,50,0.4,0.4,7,3,0.9429
60,50,0.4,0.4,7,5,0.9667
60,50,0.4,0.4,7,7,0.9571
60,50,0.4,0.4,9,3,0.9481
60,50,0.4,0.4,9,5,0.9667
60,50,0.4,0.4,9,7,0.9759
60,50,0.4,0.6,3,3,0.95
60,50,0.4,0.6,3,5,0.9444
60,50,0.4,0.6,3,7,0.9778
60,50,0.4,0.6,5,3,0.9633
60,50,0.4,0.6,5,5,0.96
60,50,0.4,0.6,5,7,0.9667
60,50,0.4,0.6,7,3,0.9333
60,50,0.4,0.6,7,5,0.9595
60,50,0.4,0.6,7,7,0.9643
60,50,0.4,0.6,9,3,0.9481
60,50,0.4,0.6,9,5,0.9519
60,50,0.4,0.6,9,7,0.9556
60,50,0.4,0.8,3,3,0.8833
60,50,0.4,0.8,3,5,0.9778
60,50,0.4,0.8,3,7,0.9611
60,50,0.4,0.8,5,3,0.94
60,50,0.4,0.8,5,5,0.9533
60,50,0.4,0.8,5,7,0.9533
60,50,0.4,0.8,7,3,0.9619
60,50,0.4,0.8,7,5,0.9571
60,50,0.4,0.8,7,7,0.9643
60,50,0.4,0.8,9,3,0.9556
60,50,0.4,0.8,9,5,0.9611
60,50,0.4,0.8,9,7,0.963
60,50,0.6,0.2,3,3,0.9833
60,50,0.6,0.2,3,5,0.9389
60,50,0.6,0.2,3,7,0.95
60,50,0.6,0.2,5,3,0.9233
60,50,0.6,0.2,5,5,0.9433
60,50,0.6,0.2,5,7,0.9433
60,50,0.6,0.2,7,3,0.9595
60,50,0.6,0.2,7,5,0.9833
60,50,0.6,0.2,7,7,0.9762
60,50,0.6,0.2,9,3,0.9444
60,50,0.6,0.2,9,5,0.9759
60,50,0.6,0.2,9,7,0.9722
60,50,0.6,0.4,3,3,0.9167
60,50,0.6,0.4,3,5,0.95
60,50,0.6,0.4,3,7,0.9722
60,50,0.6,0.4,5,3,0.9467
60,50,0.6,0.4,5,5,0.9367
60,50,0.6,0.4,5,7,0.96
60,50,0.6,0.4,7,3,0.9405
60,50,0.6,0.4,7,5,0.9714
60,50,0.6,0.4,7,7,0.9619
60,50,0.6,0.4,9,3,0.9463
60,50,0.6,0.4,9,5,0.9611
60,50,0.6,0.4,9,7,0.9704
60,50,0.6,0.6,3,3,0.9167
60,50,0.6,0.6,3,5,0.9278
60,50,0.6,0.6,3,7,0.9667
60,50,0.6,0.6,5,3,0.9533
60,50,0.6,0.6,5,5,0.9567
60,50,0.6,0.6,5,7,0.9767
60,50,0.6,0.6,7,3,0.9262
60,50,0.6,0.6,7,5,0.9524
60,50,0.6,0.6,7,7,0.9524
60,50,0.6,0.6,9,3,0.9481
60,50,0.6,0.6,9,5,0.9611
60,50,0.6,0.6,9,7,0.9537
60,50,0.6,0.8,3,3,0.95
60,50,0.6,0.8,3,5,0.9722
60,50,0.6,0.8,3,7,0.9444
60,50,0.6,0.8,5,3,0.9433
60,50,0.6,0.8,5,5,0.95
60,50,0.6,0.8,5,7,0.98
60,50,0.6,0.8,7,3,0.9262
60,50,0.6,0.8,7,5,0.9595
60,50,0.6,0.8,7,7,0.9643
60,50,0.6,0.8,9,3,0.9315
60,50,0.6,0.8,9,5,0.9444
60,50,0.6,0.8,9,7,0.9611
60,50,0.8,0.2,3,3,0.9389
60,50,0.8,0.2,3,5,0.9389
60,50,0.8,0.2,3,7,0.9722
60,50,0.8,0.2,5,3,0.9533
60,50,0.8,0.2,5,5,0.96
60,50,0.8,0.2,5,7,0.9667
60,50,0.8,0.2,7,3,0.9548
60,50,0.8,0.2,7,5,0.9452
60,50,0.8,0.2,7,7,0.969
60,50,0.8,0.2,9,3,0.9796
60,50,0.8,0.2,9,5,0.9296
60,50,0.8,0.2,9,7,0.9741
60,50,0.8,0.4,3,3,0.9556
60,50,0.8,0.4,3,5,0.9444
60,50,0.8,0.4,3,7,0.9444
60,50,0.8,0.4,5,3,0.9433
60,50,0.8,0.4,5,5,0.9633
60,50,0.8,0.4,5,7,0.9633
60,50,0.8,0.4,7,3,0.9167
60,50,0.8,0.4,7,5,0.9619
60,50,0.8,0.4,7,7,0.95
60,50,0.8,0.4,9,3,0.9593
60,50,0.8,0.4,9,5,0.9537
60,50,0.8,0.4,9,7,0.9556
60,50,0.8,0.6,3,3,0.9444
60,50,0.8,0.6,3,5,0.9778
60,50,0.8,0.6,3,7,0.9722
60,50,0.8,0.6,5,3,0.9467
60,50,0.8,0.6,5,5,0.96
60,50,0.8,0.6,5,7,0.9667
60,50,0.8,0.6,7,3,0.9452
60,50,0.8,0.6,7,5,0.9643
60,50,0.8,0.6,7,7,0.969
60,50,0.8,0.6,9,3,0.9537
60,50,0.8,0.6,9,5,0.9426
60,50,0.8,0.6,9,7,0.9648
60,50,0.8,0.8,3,3,0.9444
60,50,0.8,0.8,3,5,0.9722
60,50,0.8,0.8,3,7,0.9056
60,50,0.8,0.8,5,3,0.94
60,50,0.8,0.8,5,5,0.9633
60,50,0.8,0.8,5,7,0.96
60,50,0.8,0.8,7,3,0.931
60,50,0.8,0.8,7,5,0.9167
60,50,0.8,0.8,7,7,0.9595
60,50,0.8,0.8,9,3,0.9352
60,50,0.8,0.8,9,5,0.9556
60,50,0.8,0.8,9,7,0.9685
60,60,0.2,0.2,3,3,0.9556
60,60,0.2,0.2,3,5,0.9667
60,60,0.2,0.2,3,7,0.9611
60,60,0.2,0.2,5,3,0.9633
60,60,0.2,0.2,5,5,0.9567
60,60,0.2,0.2,5,7,0.97
60,60,0.2,0.2,7,3,0.9548
60,60,0.2,0.2,7,5,0.969
60,60,0.2,0.2,7,7,0.9667
60,60,0.2,0.2,9,3,0.9241
60,60,0.2,0.2,9,5,0.9537
60,60,0.2,0.2,9,7,0.9593
60,60,0.2,0.4,3,3,0.9667
60,60,0.2,0.4,3,5,0.95
60,60,0.2,0.4,3,7,0.9667
60,60,0.2,0.4,5,3,0.9433
60,60,0.2,0.4,5,5,0.9667
60,60,0.2,0.4,5,7,0.98
60,60,0.2,0.4,7,3,0.9429
60,60,0.2,0.4,7,5,0.9714
60,60,0.2,0.4,7,7,0.9738
60,60,0.2,0.4,9,3,0.9537
60,60,0.2,0.4,9,5,0.9611
60,60,0.2,0.4,9,7,0.9759
60,60,0.2,0.6,3,3,0.95
60,60,0.2,0.6,3,5,0.9722
60,60,0.2,0.6,3,7,0.9556
60,60,0.2,0.6,5,3,0.9567
60,60,0.2,0.6,5,5,0.94
60,60,0.2,0.6,5,7,0.9533
60,60,0.2,0.6,7,3,0.9381
60,60,0.2,0.6,7,5,0.9405
60,60,0.2,0.6,7,7,0.9548
60,60,0.2,0.6,9,3,0.95
60,60,0.2,0.6,9,5,0.9667
60,60,0.2,0.6,9,7,0.9667
60,60,0.2,0.8,3,3,0.9444
60,60,0.2,0.8,3,5,0.9833
60,60,0.2,0.8,3,7,0.9611
60,60,0.2,0.8,5,3,0.95
60,60,0.2,0.8,5,5,0.9567
60,60,0.2,0.8,5,7,0.95
60,60,0.2,0.8,7,3,0.95
60,60,0.2,0.8,7,5,0.9571
60,60,0.2,0.8,7,7,0.9667
60,60,0.2,0.8,9,3,0.9315
60,60,0.2,0.8,9,5,0.9463
60,60,0.2,0.8,9,7,0.963
60,60,0.4,0.2,3,3,0.9611
60,60,0.4,0.2,3,5,0.9611
60,60,0.4,0.2,3,7,0.9833
60,60,0.4,0.2,5,3,0.9433
60,60,0.4,0.2,5,5,0.98
60,60,0.4,0.2,5,7,0.9667
60,60,0.4,0.2,7,3,0.9357
60,60,0.4,0.2,7,5,0.9286
60,60,0.4,0.2,7,7,0.9857
60,60,0.4,0.2,9,3,0.9611
60,60,0.4,0.2,9,5,0.9444
60,60,0.4,0.2,9,7,0.9611
60,60,0.4,0.4,3,3,0.9389
60,60,0.4,0.4,3,5,0.9556
60,60,0.4,0.4,3,7,0.9611
60,60,0.4,0.4,5,3,0.9767
60,60,0.4,0.4,5,5,0.9633
60,60,0.4,0.4,5,7,0.98
60,60,0.4,0.4,7,3,0.9476
60,60,0.4,0.4,7,5,0.9524
60,60,0.4,0.4,7,7,0.9738
60,60,0.4,0.4,9,3,0.95
60,60,0.4,0.4,9,5,0.9648
60,60,0.4,0.4,9,7,0.9704
60,60,0.4,0.6,3,3,0.9389
60,60,0.4,0.6,3,5,0.9222
60,60,0.4,0.6,3,7,0.9389
60,60,0.4,0.6,5,3,0.9633
60,60,0.4,0.6,5,5,0.9633
60,60,0.4,0.6,5,7,0.9533
60,60,0.4,0.6,7,3,0.9405
60,60,0.4,0.6,7,5,0.9762
60,60,0.4,0.6,7,7,0.9595
60,60,0.4,0.6,9,3,0.95
60,60,0.4,0.6,9,5,0.9519
60,60,0.4,0.6,9,7,0.963
60,60,0.4,0.8,3,3,0.95
60,60,0.4,0.8,3,5,0.9611
60,60,0.4,0.8,3,7,0.9611
60,60,0.4,0.8,5,3,0.9233
60,60,0.4,0.8,5,5,0.98
60,60,0.4,0.8,5,7,0.96
60,60,0.4,0.8,7,3,0.9405
60,60,0.4,0.8,7,5,0.9429
